Location,"New Item"
801-156-A-01,62338-82291-06
801-157-A-01,19200-98295-00
801-158-A-01,62338-99503-05
801-159-A-01,19200-82043-00
801-160-A-01,62338-78048-06
801-161-A-01,62338-85825-03
801-162-A-01,19200-99923-00
801-163-A-01,62338-85823-03
801-164-A-01,51700-98897-02
801-165-A-01,19200-98665-01
801-166-A-01,62338-99134-01
801-167-A-01,19200-99427-00
801-168-A-01,62338-57006-01
801-169-A-01,62338-02033-00
801-170-A-01,19200-96317-00
801-171-A-01,19200-84249-02
801-172-A-01,19200-83721-04
801-173-A-01,62338-02041-00
801-174-A-01,19200-83723-04
801-175-A-01,19200-79132-02
801-176-A-01,19200-83722-04
801-177-A-01,62338-98552-01
801-178-A-01,62338-78046-06
801-179-A-01,62338-98554-00
801-180-A-01,62338-81996-02
801-181-A-01,62338-01111-03
801-182-A-01,19200-84251-42
801-183-A-01,62338-98554-04
801-184-A-01,36241-74828-02
801-185-A-01,62338-96559-00
801-186-A-01,19200-00025-00
801-187-A-01,19200-89059-00
801-188-A-01,62338-75819-21
LAY401,19200-95871-00
LAY402,19200-96084-00
LAY403,19200-99487-00
LAY404,62338-06130-15
LAY405,51700-87104-00
LAY406,62338-87979-02
LAY407,62338-87977-02
LAY408,19200-99836-00
LAY409,19200-94121-01
LAY410,19200-84779-00
LAY411,19200-99804-00
LAY412,62338-74035-10
LAY413,51700-99210-00
LAY414,19200-74186-38
LAY415,19200-80833-35
LAY416,19200-02845-38
LAY417,19200-87871-36
LAY418,62338-85261-00
LAY419,62338-85260-00
LAY420,19200-89447-00
LAY421,19200-83383-00
LAY422,62338-88314-11
LAY423,19200-84977-30
LAY424,51700-88876-02
LAY425,19200-99497-00
LAY426,62338-97024-00
LAY427,19200-99812-00
LAY428,19200-99716-00
LAY429,51700-20640-01
LAY430,62338-87978-02
LAY431,19200-99865-00
LAY432,51700-99681-00
LAY433,51700-99672-00
LAY434,62338-75143-06
LAY435,62338-02937-00
LAY436,19200-96741-00
LAY437,51700-99670-00
LAY438,19200-98287-00
LAY439,19200-98289-00
LAY440,19200-99907-00
LAY441,62338-82888-00
LAY442,62338-02080-01
LAY443,51700-99668-00
LAY444,51700-99675-00
LAY445,51700-20613-01
LAY446,51700-99683-00
LAY447,51700-20643-01
LAY448,62338-75144-07
LAY449,19200-89057-00
LAY450,19200-89060-00
LAY451,19200-99747-00
LAY452,19200-80309-02
LAY453,62338-78297-05
LAY454,19200-82159-46
LAY455,62338-02709-00
LAY456,19200-99777-00
LAY457,62338-75462-04
LAY458,62338-76461-01
LAY459,62338-02292-00
LAY460,19200-80834-32
LAY461,19200-97181-40
